Class,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
C1,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725
C2,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936
C3,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086
C4,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505
C5,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465
C6,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546
C7,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547
C8,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824
C9,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963
C10,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681
C11,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037
C12,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628
C13,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988
C14,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076
C15,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556
C16,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924
C17,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505
C18,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348
C19,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974
C20,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958
C21,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243
C22,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772
C23,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454
C24,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481
C25,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501
C26,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122
C27,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439
C28,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925
C29,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686
C30,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557
C31,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056
C32,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392
C33,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505
C34,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585
C35,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716
C36,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072
C37,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556
C38,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701
C39,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334
C40,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754
C41,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451
C42,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046
C43,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641
C44,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068
C45,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341
C46,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468
C47,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597
C48,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788
C49,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336
C50,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511
C51,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522
C52,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257
C53,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029
C54,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499
C55,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901
C56,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756
C57,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286
C58,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691
C59,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144
C60,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722
C61,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514
C62,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695
C63,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188
C64,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827
C65,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782
C66,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251
C67,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998
C68,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947
C69,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
C70,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991
C71,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
C72,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
C73,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865
C74,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
C75,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651
C76,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
C77,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748
C78,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
C79,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
C80,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
C81,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282
C82,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898
C83,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
C84,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308
C85,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
